element_type,osmid,geometry,amenity,building,name,shop,nodes,addr:housenumber,addr:street,addr:postcode,building:levels,description,addr:city,building:flats,start_date,phone,leisure,source:addr,operator,brand,brand:en,brand:wikidata,brand:wikipedia,contact:phone,contact:website,name:en,name:ru,opening_hours,ref,bus,public_transport,railway,architect
way,232958275,"POLYGON ((37.4099758 54.7249988, 37.410016 54.7251518, 37.4106429 54.7250969, 37.4106027 54.7249439, 37.4099758 54.7249988))",,yes,,,"[2412804043, 2412804047, 2412804046, 2412804042, 2412804043]",,,,,,,,,,,,,,,,,,,,,,,,,,
way,232958276,"POLYGON ((37.4057167 54.7424113, 37.4061534 54.7422934, 37.4060517 54.7421679, 37.405615 54.7422858, 37.4057167 54.7424113))",,yes,,,"[2412804310, 2412804306, 2412804299, 2412804305, 2412804310]",,,,,,,,,,,,,,,,,,,,,,,,,,
way,232958277,"POLYGON ((37.4081434 54.7243483, 37.4089358 54.7240554, 37.4087465 54.7238846, 37.407954 54.7241774, 37.4081434 54.7243483))",,yes,,,"[2412804021, 2412804017, 2412804012, 2412804018, 2412804021]",,,,,,,,,,,,,,,,,,,,,,,,,,
way,232958278,"POLYGON ((37.3982086 54.7340215, 37.3983301 54.7340566, 37.3984365 54.7339338, 37.3983149 54.7338988, 37.3982086 54.7340215))",,yes,,,"[2412804173, 2412804176, 2412804170, 2412804168, 2412804173]",52,улица Ленина,,,,Заокский,,,,,,,,,,,,,,,,,,,,
way,232958279,"POLYGON ((37.4106002 54.7385287, 37.4108326 54.739035, 37.4110401 54.7390033, 37.4108076 54.738497, 37.4106002 54.7385287))",,house,,,"[2412804276, 2412804278, 2412804277, 2412804275, 2412804276]",25,Садовая улица,,,,,,,,,,,,,,,,,,,,,,,,
way,232958280,"POLYGON ((37.4113387 54.7369131, 37.4114982 54.7369931, 37.4120262 54.7366423, 37.4118667 54.7365623, 37.4113387 54.7369131))",,yes,,,"[2412804254, 2412804256, 2412804245, 2412804243, 2412804254]",,,,,,,,,,,,,,,,,,,,,,,,,,
way,232958281,"POLYGON ((37.3960713 54.7338776, 37.3962292 54.7339163, 37.3963982 54.7336865, 37.3962403 54.7336478, 37.3960713 54.7338776))",,yes,,,"[2412804166, 2412804169, 2412804156, 2412804153, 2412804166]",,,,2,,,,,,,,,,,,,,,,,,,,,,
way,232958282,"POLYGON ((37.4085993 54.7370425, 37.4096304 54.736893, 37.4095759 54.7367679, 37.4085449 54.7369174, 37.4085993 54.7370425))",,house,,,"[2412804259, 2412804253, 2412804250, 2412804255, 2412804259]",19,Садовая улица,,,,,,,,,,,,,,,,,,,,,,,,
way,232958283,"POLYGON ((37.4094345 54.7242281, 37.409266 54.7242876, 37.4095873 54.7245911, 37.4097558 54.7245316, 37.4094345 54.7242281))",,yes,,,"[2412804019, 2412804020, 2412804030, 2412804026, 2412804019]",,,,,,,,,,,,,,,,,,,,,,,,,,
way,232958284,"POLYGON ((37.4094 54.72481, 37.4094797 54.7251868, 37.4097451 54.7251681, 37.4096654 54.7247913, 37.4094 54.72481))",,yes,,,"[2412804038, 2412804049, 2412804048, 2412804037, 2412804038]",,,,,,,,,,,,,,,,,,,,,,,,,,
