key;count_all;values_all;characters;grade
switch;87294;51;plain;g
marker;86647;450;plain;g
workrules;86475;35;plain;g
produce;86101;2599;plain;g
ref:old;85978;2092;colon;g
ref_name;85801;53359;plain;g
roof:direction;85296;7929;colon;g
object:city;85295;892;colon;g
toilets;85042;179;plain;g
cycleway:surface;84901;45;colon;g
light_source;84640;24;plain;g
source:addr:version;84422;73;colon;g
dataset;84351;28;plain;g
surveillance:zone;84046;578;colon;g
destination:lanes;83799;65058;colon;g
minspeed;83784;39;plain;g
ref:miabldg;83308;83008;colon;g
uic_name;82987;39248;plain;g
parking:lane:right;82245;93;colon;g
building:walls;82118;62;colon;g
recycling:glass;82085;35;colon;g
noref;82070;16;plain;g
source:id;82017;18034;colon;g
historic:civilization;81721;1291;colon;g
delivery;81695;948;plain;g
agricultural;81551;81;plain;g
route_master;81214;78;plain;g
protect_class;81121;100;plain;g
old_addr:housenumber;80857;6719;colon;g
artist_name;80830;41390;plain;g
footway:surface;80539;40;colon;g
name:ur;80126;15159;colon;g
bmo:type;80110;5;colon;g
unisex;79874;32;plain;g
genus:it;79575;169;colon;g
disused:railway;79544;145;colon;g
name:nl;79517;27967;colon;g
contact:fax;79288;75102;colon;g
destination:forward;79262;42608;colon;g
traffic_sign:forward;79155;4107;colon;g
ref:FR:SNCF_Reseau;79121;9351;letters;g
is_in:country_code;79113;178;colon;g
source_ref:url;79051;198;colon;g
social_facility:for;78894;946;colon;g
name:kn;78488;35696;colon;g
surrey:addrid;78467;77793;colon;g
surrey:date;78079;4063;colon;g
KSJ2:ADS;77742;72480;letters;g
KSJ2:PubFacAdmin;77697;5;letters;g
locality;77678;1168;plain;g
line_management;77491;119;plain;g
fuel:octane_95;77427;11;letters;g
light:tilt;77178;41;colon;g
cutting;77111;33;plain;g
toll:hgv;76869;3;colon;g
check_date:surface;76634;1104;colon;g
rer_edi_id:ref;76481;76429;colon;g
date;76296;3473;plain;g
name:ja-Latn;76241;22226;rest;g
plant:source;76184;187;colon;g
tiger:zip_right_1;76154;13667;letters;g
genus:de;75909;579;colon;g
GeoBaseNHN:VALDATE;75820;22;letters;g
mtb;75801;66;plain;g
FID;75681;70160;letters;g
light:shape;75422;17;colon;g
trailblazed;75336;56;plain;g
name:oc;74435;34758;colon;g
is_in:continent;74245;26;colon;g
is_in:village;74075;17784;colon;g
parking:lane:left;73328;84;colon;g
name:zh_pinyin;73156;27292;colon;g
railway:kvb;73089;4;colon;g
railway:signal:main:form;73080;8;colon;g
abutters;72809;95;plain;g
addr:parish;72752;6208;colon;g
recycling:clothes;72750;23;colon;g
import_ref;72739;18;plain;g
ref:findr;72716;72613;colon;g
hedge;72453;39;plain;g
destination:street;72173;22728;colon;g
wood;71981;231;plain;g
de:strassenschluessel;71816;24887;colon;g
KSJ2:AdminArea;71779;1073;letters;g
maxspeed:conditional;71744;2245;colon;g
destination:backward;71621;37977;colon;g
pillar:type;71404;12;colon;g
name_2;71118;25521;letters;g
street_cabinet;71069;193;plain;g
nohousenumber;71068;40;plain;g
addr:nostreet;70966;1;colon;g
protection_title;70913;2830;plain;g
railway:signal:main;70823;116;colon;g
room;70290;765;plain;g
model;70267;3084;plain;g
source:prow_ref;69762;178;colon;g
logainm:ref;69757;52374;colon;g
capital;69692;71;plain;g
ref:ine;69684;65842;colon;g
bridge:name;69639;43611;colon;g
clothes;69484;3608;plain;g
railway:milestone:catenary_mast;69394;5;colon;g
maxspeed:advisory;69357;108;colon;g
sidewalk:right:surface;69285;70;colon;g
roundtrip;68818;29;plain;g
crossing:bell;68815;9;colon;g
strazakosm:send_date;68406;44146;colon;g
strazakosm:sender_id;68380;2196;colon;g
importance;68312;50;plain;g
